Hevy Name,Our DB Match,Status,Muscle Group,Equipment,Hevy URL
Arnold Press (Dumbbell),Kettlebell Arnold Press,matched,Shoulders,Dumbbell,https://www.hevyapp.com/exercises/arnold-press-dumbbell/
Around The World,,unmatched,Chest,Dumbbell,https://www.hevyapp.com/exercises/around-the-worlds/
Behind the Back Bicep Wrist Curl (Barbell),,unmatched,Forearms,Barbell,https://www.hevyapp.com/exercises/behind-the-back-bicep-wrist-curl-barbell/
Bench Press (Barbell),Machine Bench Press,matched,Chest,Barbell,https://www.hevyapp.com/exercises/how-to-bench-press-barbell/
Bench Press (Dumbbell),Machine Bench Press,matched,Chest,Dumbbell,https://www.hevyapp.com/exercises/bench-press-dumbbell/
Bench Press - Close Grip (Barbell),,unmatched,Triceps,Barbell,https://www.hevyapp.com/exercises/bench-press-close-grip-barbell/
Bench Press - Wide Grip (Barbell),,unmatched,Chest,Barbell,https://www.hevyapp.com/exercises/wide-grip-bench-press/
Bent over fly,,unmatched,Upper Back,Dumbbell,https://www.hevyapp.com/exercises/bent-over-fly/
Bicep Curl (Barbell),Machine Bicep Curl,matched,Biceps,Barbell,https://www.hevyapp.com/exercises/how-to-bicep-curl-barbell/
Bicep Curl (Dumbbell),Machine Bicep Curl,matched,Biceps,Dumbbell,https://www.hevyapp.com/exercises/how-to-bicep-curl-dumbbell/
Burpee Over the Bar,,unmatched,Full Body,Bodyweight,https://www.hevyapp.com/exercises/how-to-burpee-over-the-bar/
Cable Crunch,Cable Crunch,matched,Abdominals,Machine,https://www.hevyapp.com/exercises/how-to-cable-crunch/
Calf Press (Machine),Calf Press,matched,Calves,Machine,https://www.hevyapp.com/exercises/how-to-calf-press-machine/
Chest Dip,,unmatched,Chest,Machine,https://www.hevyapp.com/exercises/how-to-chest-dip/
Chest Dip (Weighted),,unmatched,Chest,None,https://www.hevyapp.com/exercises/chest-dip-weighted/
Chest-Supported Incline Row (dumbbell),,unmatched,Upper Back,Dumbbell,https://www.hevyapp.com/exercises/chest-supported-incline-row-dumbbell/
Clean Pull,Clean Pull,matched,Full Body,Barbell,https://www.hevyapp.com/exercises/clean-pull/
Clean and Jerk,Clean and Jerk,matched,Full Body,Barbell,https://www.hevyapp.com/exercises/clean-and-jerk/
Concentration Curl,Standing Concentration Curl,matched,Biceps,Dumbbell,https://www.hevyapp.com/exercises/concentration-curl/
Dead Hang,,unmatched,Upper Back,None,https://www.hevyapp.com/exercises/dead-hang/
Deadlift (Band),Sumo Deadlift,matched,Hamstrings,Resistance Band,https://www.hevyapp.com/exercises/how-to-deadlift-band/
Deadlift (Dumbbell),Sumo Deadlift,matched,Hamstrings,Dumbbell,https://www.hevyapp.com/exercises/dumbbell-deadlift/
Decline Bench Press (Dumbbell),,unmatched,Chest,Dumbbell,https://www.hevyapp.com/exercises/how-to-decline-bench-press-dumbbell/
Decline Crunch,Decline Crunch,matched,Abdominals,Bodyweight,https://www.hevyapp.com/exercises/how-to-decline-crunch/
Diamond Push Up,,unmatched,Triceps,None,https://www.hevyapp.com/exercises/diamond-push-up/
Dumbbell Skullcrusher,,unmatched,Triceps,Dumbbell,https://www.hevyapp.com/exercises/dumbbell-skull-crusher/
Face Pull,Face Pull,matched,Shoulders,Machine,https://www.hevyapp.com/exercises/face-pull/
Farmer's Walk,Farmer's Walk,matched,Full Body,Dumbbell,https://www.hevyapp.com/exercises/farmers-walk/
Fire Hydrants,,unmatched,Glutes,Bodyweight,https://www.hevyapp.com/exercises/how-to-fire-hydrants/
Floor Press (Barbell),Leg-Over Floor Press,matched,Chest,Barbell,https://www.hevyapp.com/exercises/floor-press-barbell/
Flutter Kicks,Flutter Kicks,matched,Abdominals,None,https://www.hevyapp.com/exercises/flutter-kicks/
Frog Jumps,,unmatched,Full Body,None,https://www.hevyapp.com/exercises/frog-jumps/
Front Lever Raise,,unmatched,Abdominals,None,https://www.hevyapp.com/exercises/front-lever-raise/
Front Squat,,unmatched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/how-to-front-squat/
Glute Bridge,Barbell Glute Bridge,matched,Glutes,Bodyweight,https://www.hevyapp.com/exercises/how-to-glute-bridge/
Glute Ham Raise,Natural Glute Ham Raise,matched,Hamstrings,Machine,https://www.hevyapp.com/exercises/how-to-glute-ham-raise/
Glute Kickback on Floor,,unmatched,Glutes,None,https://www.hevyapp.com/exercises/glute-kickback-on-floor/
Goblet Squat,Goblet Squat,matched,Quadriceps,Barbell,https://www.hevyapp.com/exercises/how-to-goblet-squat/
Good Morning (Barbell),Good Morning,matched,Hamstrings,Barbell,https://www.hevyapp.com/exercises/how-to-good-morning-barbell/
